Date,EURUSD25R1M BGN Curncy  (R1),USDJPY25R1M BGN Curncy  (R2),EURJPY25R1M BGN Curncy  (L1)
40114,-0.73250000000000004,-1.27,-1.5475000000000001
40113,-0.62250000000000005,-0.98499999999999999,-1.2024999999999999
40112,-0.47,-0.95,-0.97
40109,-0.28999999999999998,-1.0575000000000001,-1.0425
40108,-0.21,-1.23,-1.105
40107,-0.19750000000000001,-1.3225,-1.22
40106,-7.4999999999999997E-3,-1.41,-1.29
40105,5.5E-2,-1.4550000000000001,-1.36
40102,5.5E-2,-1.5225,-1.4524999999999999
40101,7.0000000000000007E-2,-1.6775,-1.615
40100,8.2500000000000004E-2,-1.8474999999999999,-1.6725000000000001
40099,-7.0000000000000007E-2,-1.7124999999999999,-1.7475000000000001
40098,-0.16500000000000001,-1.8875,-1.9175
40095,-0.19,-2.0150000000000001,-2
40094,-0.185,-2.2000000000000002,-2.1724999999999999
40093,-0.23250000000000001,-2.1724999999999999,-2.2000000000000002
40092,-0.19500000000000001,-1.9424999999999999,-2.1825000000000001
40091,-0.21249999999999999,-1.8025,-2.02
40088,-0.22750000000000001,-2.0775000000000001,-2.1524999999999999
40087,-0.1875,-1.9924999999999999,-2.09
40086,-8.2500000000000004E-2,-2.145,-2.2774999999999999
40085,2.5000000000000001E-3,-2.1949999999999998,-2.31
40084,1.2500000000000001E-2,-1.82,-2.36
40081,0.02,-1.8425,-1.9325000000000001
40080,7.0000000000000007E-2,-1.5549999999999999,-1.66
40079,0.22500000000000001,-1.68,-1.655
40078,0.25,-1.7324999999999999,-1.78
40077,0.14749999999999999,-1.68,-1.82
40074,0.26500000000000001,-2.0350000000000001,-2.0125000000000002
40073,0.29749999999999999,-1.9650000000000001,-2.0249999999999999
40072,0.3,-1.97,-2.0249999999999999
40071,0.25,-1.8049999999999999,-1.94
40070,0.315,-1.9,-2.16
40067,0.35749999999999998,-1.7524999999999999,-2.13
40066,0.39,-1.57,-2.0474999999999999
40065,0.39,-1.39,-2.1475
40064,0.35749999999999998,-1.4375,-2.1349999999999998
40063,0.12,-1.4025000000000001,-2.0874999999999999
40060,0.04,-1.2150000000000001,-2.2450000000000001
40059,0.03,-1.5249999999999999,-2.2774999999999999
40058,0.05,-1.3875,-2.1324999999999998
40057,0.1225,-1.4850000000000001,-2.0375000000000001
40056,0.20499999999999999,-1.46,-1.9850000000000001
40053,0.215,-1.5249999999999999,-1.9550000000000001
40052,0.1825,-1.5525,-1.9650000000000001
40051,0.17499999999999999,-1.4950000000000001,-1.9650000000000001
40050,0.20749999999999999,-1.5125,-1.9724999999999999
40049,0.17749999999999999,-1.5024999999999999,-2.0425
40046,0.215,-1.6725000000000001,-1.9624999999999999
40045,7.0000000000000007E-2,-1.5649999999999999,-1.9450000000000001
40044,7.7499999999999999E-2,-1.6325000000000001,-1.99
40043,0.06,-1.58,-1.9524999999999999
40042,6.7500000000000004E-2,-1.73,-2.0499999999999998
40039,0.26250000000000001,-1.59,-1.885
40038,0.27500000000000002,-1.42,-1.7725
40037,0.17749999999999999,-1.54,-1.8174999999999999
40036,0.26250000000000001,-1.3125,-1.6375
40035,0.2175,-0.97750000000000004,-1.22
40032,0.38250000000000001,-0.91500000000000004,-1.1125
40031,0.59,-1.34,-1.415
40030,0.61,-1.6025,-1.6675
40029,0.47249999999999998,-1.69,-1.7524999999999999
40028,0.42249999999999999,-1.7324999999999999,-1.7925
40025,0.31,-1.75,-1.9125000000000001
40024,0.25750000000000001,-1.83,-1.9624999999999999
40023,0.31,-2.0674999999999999,-2.1675
40022,0.38,-2.0150000000000001,-2.0225
40021,0.51,-1.9775,-2.0150000000000001
40018,0.50249999999999995,-2.1850000000000001,-2.2524999999999999
40017,0.48,-2.19,-2.3224999999999998
40016,0.47499999999999998,-2.4925000000000002,-2.5924999999999998
40015,0.47249999999999998,-2.3849999999999998,-2.4649999999999999
40014,0.46250000000000002,-2.2675000000000001,-2.4125000000000001
40011,0.32250000000000001,-2.4700000000000002,-2.4849999999999999
40010,0.34749999999999998,-2.4725000000000001,-2.4775
40009,0.31,-2.5649999999999999,-2.5225
40008,0.125,-2.8125,-2.6025
40007,4.7500000000000001E-2,-2.8725000000000001,-2.6949999999999998
40004,6.25E-2,-2.91,-2.8525
40003,0.11,-2.7774999999999999,-2.7174999999999998
40002,5.7500000000000002E-2,-2.625,-2.6225000000000001
40001,0.36749999999999999,-2.0350000000000001,-2.0175000000000001
40000,0.36499999999999999,-1.855,-1.9975000000000001
39997,0.45750000000000002,-1.92,-1.9424999999999999
39996,0.54500000000000004,-1.76,-1.8025
39995,0.60750000000000004,-1.84,-1.7475000000000001
39994,0.54500000000000004,-2.08,-1.9350000000000001
39993,0.52249999999999996,-2.3250000000000002,-2.145
39990,0.51749999999999996,-2.3199999999999998,-2.1274999999999999
39989,0.45250000000000001,-2.3174999999999999,-2.2400000000000002
39988,0.60499999999999998,-2.5924999999999998,-2.4249999999999998
39987,0.51,-2.6524999999999999,-2.4750000000000001
39986,0.34499999999999997,-2.4024999999999999,-2.2574999999999998
39983,0.30249999999999999,-2.4300000000000002,-2.2425000000000002
39982,0.34250000000000003,-2.4449999999999998,-2.0674999999999999
39981,0.34,-2.5225,-2.2725
39980,0.33250000000000002,-2.1974999999999998,-2.0074999999999998
39979,0.29749999999999999,-1.9575,-1.7424999999999999
39976,0.49,-1.8774999999999999,-1.6725000000000001
39975,0.51749999999999996,-1.895,-1.7625
39974,0.52,-1.925,-1.7825
39973,0.53249999999999997,-1.855,-1.7875000000000001
39972,0.23499999999999999,-1.6924999999999999,-1.7675000000000001
39969,0.27250000000000002,-1.9475,-1.7324999999999999
39968,0.42249999999999999,-2.1225000000000001,-1.7575000000000001
39967,0.46250000000000002,-2.145,-1.6775
39966,1.1725000000000001,-2.0474999999999999,-1.6375
39965,1.3125,-2.0625,-1.7124999999999999
39962,1.1924999999999999,-1.9750000000000001,-1.7775000000000001
39961,0.98750000000000004,-1.8875,-1.5974999999999999
39960,0.95,-2.17,-1.9675
39959,1.0375000000000001,-2.1349999999999998,-2.1724999999999999
39958,0.97,-2.7349999999999999,-2.15
39955,1.1200000000000001,-2.5099999999999998,-2.27
39954,0.8175,-2.4950000000000001,-2.1850000000000001
39953,0.58499999999999996,-2.2174999999999998,-2.1850000000000001
39952,0.55000000000000004,-2.1324999999999998,-2.1524999999999999
39951,0.4425,-2.4624999999999999,-2.4649999999999999
39948,0.6,-2.6425000000000001,-2.4849999999999999
39947,0.58250000000000002,-2.6575000000000002,-2.5049999999999999
39946,0.61,-2.71,-2.3075000000000001
39945,0.63249999999999995,-2.4525000000000001,-2.0575000000000001
39944,0.5,-2.0775000000000001,-1.74
39941,0.55500000000000005,-1.585,-1.6575
39940,0.42249999999999999,-1.6625000000000001,-1.7324999999999999
39939,0.4975,-1.76,-1.89
39938,0.56499999999999995,-1.6725000000000001,-1.8125
39937,0.56499999999999995,-1.6924999999999999,-1.9724999999999999
39934,0.54,-2.0550000000000002,-2.2949999999999999
39933,0.53,-2.3475000000000001,-2.34
39932,0.45500000000000002,-2.6625000000000001,-2.4624999999999999
39931,0.26500000000000001,-2.92,-2.6074999999999999
39930,0.29249999999999998,-2.81,-2.6175000000000002
39927,0.3775,-2.7349999999999999,-2.4700000000000002
39926,4.7500000000000001E-2,-2.5674999999999999,-2.5049999999999999
39925,-0.17749999999999999,-2.585,-2.5425
39924,-0.17499999999999999,-2.6949999999999998,-2.5924999999999998
39923,-0.1275,-2.665,-2.4900000000000002
39920,5.0000000000000001E-3,-2.4725000000000001,-2.3424999999999998
